No,open,high,low,close,perc_change,abs_change,vol,Ticker,period
30,6.45,7.85,6.00,7.20,+11.28%,+0.73,"132,813",CPD,31-03-2018
29,7.95,8.80,5.42,6.47,-17.89%,-1.41,"194,842",CPD,31-12-2017
28,6.18,9.00,5.57,7.88,+27.51%,+1.70,"172,163",CPD,30-09-2017
27,5.75,6.42,4.92,6.18,+10.36%,+0.58,"184,576",CPD,30-06-2017
26,3.91,6.24,3.91,5.60,+35.27%,+1.46,"323,568",CPD,31-03-2017
25,3.89,4.55,3.31,4.14,+6.98%,+0.27,"127,091",CPD,31-12-2016
24,4.40,4.84,3.87,3.87,-14.00%,-0.63,"143,735",CPD,30-09-2016
23,6.25,6.63,3.82,4.50,-26.47%,-1.62,"146,429",CPD,30-06-2016
22,4.44,6.12,4.41,6.12,+27.50%,+1.32,"29,829",CPD,31-03-2016
21,4.62,5.18,4.20,4.80,0.00%,0.00,"18,468",CPD,31-12-2015
20,4.68,5.80,3.80,4.80,-7.69%,-0.40,"103,862",CPD,30-09-2015
19,4.70,7.46,4.50,5.20,+9.01%,+0.43,"90,763",CPD,30-06-2015
18,5.89,6.38,3.50,4.77,-13.27%,-0.73,"112,385",CPD,31-03-2015
17,7.35,8.30,5.40,5.50,-21.65%,-1.52,"22,425",CPD,31-12-2014
16,5.99,10.00,5.85,7.02,+20.00%,+1.17,"107,342",CPD,30-09-2014
15,2.56,5.85,2.56,5.85,+127.63%,+3.28,"190,883",CPD,30-06-2014
14,2.59,2.90,2.12,2.57,-1.15%,-0.03,"68,102",CPD,31-03-2014
13,2.25,3.03,2.05,2.60,+15.56%,+0.35,"159,509",CPD,31-12-2013
12,2.90,3.04,2.25,2.25,-25.25%,-0.76,"31,685",CPD,30-09-2013
11,4.60,5.20,2.22,3.01,-39.19%,-1.94,"99,729",CPD,30-06-2013
10,4.21,6.00,4.20,4.95,+9.76%,+0.44,"95,777",CPD,31-03-2013
9,8.15,8.98,3.50,4.51,-50.00%,-4.51,"60,021",CPD,31-12-2012
8,12.00,12.44,7.00,9.02,-24.83%,-2.98,"26,046",CPD,30-09-2012
